No.,Reaction number in iLL672,ORF,glucose(aerobe),glucose (anaerobe),galactose,glycerol,ethanol,Plate,row,col,ORF,gene name(s),brief id 
853,    'not included in iLL672',YOR298W,,,,,,9,H,1,YOR298W,,
854,    'not included in iLL672',YOR299W,,,,,,9,H,2,YOR299W,,
855,    'not included in iLL672',YOR300W,,,,,,9,H,3,YOR300W,,
856,    'not included in iLL672',YOR301W,,,,,,9,H,4,YOR301W,,
857,    'not included in iLL672',YOR302W,,,,,m,9,H,5,YOR302W,,
858,    'part of iLL672',YOR303W,,,,,,9,H,6,YOR303W,,
859,    'not included in iLL672',YOR304C-A,,,0,0,0,9,H,7,YOR304C-A,,
860,    'not included in iLL672',YOR304W,,,,,,9,H,8,YOR304W,,
861,    'not included in iLL672',YOR305W,,,0,0,0,9,H,9,YOR305W,,
862,    'not included in iLL672',YOR306C,,,,,,9,H,10,YOR306C,,
863,    'not included in iLL672',YOR307C,,,,,,9,H,11,YOR307C,,
864,    'not included in iLL672',YOR308C,,,,,,9,H,12,YOR308C,,
865,    'not included in iLL672',YOR309C,,,,,,10,A,1,YOR309C,,
866,    'not included in iLL672',YOR311C,,,,,,10,A,2,YOR311C,,
867,    'not included in iLL672',YOR312C,,,,,,10,A,3,YOR312C,,
868,    'not included in iLL672',YOR313C,,,,,,10,A,4,YOR313C,,
869,    'not included in iLL672',YOR314W,,,,,,10,A,5,YOR314W,,
870,    'not included in iLL672',YOR315W,,,,,,10,A,6,YOR315W,,
871,    'not included in iLL672',YOR316C,,,,,,10,A,7,YOR316C,,
872,    'not included in iLL672',YOR318C,,,0,0,0,10,A,8,YOR318C,,
873,    'not included in iLL672',YOR320C,,,,,,10,A,9,YOR320C,,
874,    'part of iLL672',YOR321W,,,,,,10,A,10,YOR321W,,
875,    'not included in iLL672',YOR322C,,,,,,10,A,11,YOR322C,,
876,    'part of iLL672',YOR323C,,,,,,10,A,12,YOR323C,,
877,    'not included in iLL672',YOR324C,,,,,,10,B,1,YOR324C,,
878,    'not included in iLL672',YOR325W,,,,,,10,B,2,YOR325W,,
879,    'not included in iLL672',YOR327C,,,,,,10,B,3,YOR327C,,
880,    'not included in iLL672',YOR328W,,,,,,10,B,4,YOR328W,,
881,    'not included in iLL672',YOR330C,,,,m,,10,B,5,YOR330C,,
882,    'not included in iLL672',YOR331C,,,,,,10,B,6,YOR331C,,
883,    'not included in iLL672',YOR332W,,,,,,10,B,7,YOR332W,,
884,    'not included in iLL672',YOR333C,,,,,,10,B,8,YOR333C,,
885,    'not included in iLL672',YOR334W,,,,,,10,B,9,YOR334W,,
886,    'not included in iLL672',YOR337W,,,,,,10,B,10,YOR337W,,
887,    'not included in iLL672',YOR338W,,,,,,10,B,11,YOR338W,,
888,    'not included in iLL672',YOR339C,,,,,,10,B,12,YOR339C,,
889,    'not included in iLL672',YOR342C,,,,,,10,C,1,YOR342C,,
890,    'not included in iLL672',YOR343C,,,,,,10,C,2,YOR343C,,
891,    'not included in iLL672',YOR344C,,,,,,10,C,3,YOR344C,,
892,    'not included in iLL672',YOR345C,,,,,,10,C,4,YOR345C,,
893,    'not included in iLL672',YOR346W,,,,,,10,C,5,YOR346W,,
894,    'part of iLL672',YOR347C,,,,,,10,C,6,YOR347C,,
895,    'part of iLL672',YOR348C,,,,,,10,C,7,YOR348C,,
896,    'not included in iLL672',YOR349W,,,,,,10,C,8,YOR349W,,
897,    'not included in iLL672',YOR350C,,,,,,10,C,9,YOR350C,,
898,    'not included in iLL672',YOR351C,,,,,,10,C,10,YOR351C,,
899,    'not included in iLL672',YOR352W,,,,,,10,C,11,YOR352W,,
900,    'not included in iLL672',YOR354C,,,,,,10,C,12,YOR354C,,
901,    'not included in iLL672',YOR355W,,,,,,10,D,1,YOR355W,,
902,    'not included in iLL672',YOR356W,,,,,,10,D,2,YOR356W,,
903,    'not included in iLL672',YOR357C,,,,,,10,D,3,YOR357C,,
904,    'not included in iLL672',YOR358W,,,,,,10,D,4,YOR358W,,
905,    'not included in iLL672',YOR359W,,,,,,10,D,5,YOR359W,,
906,    'part of iLL672',YOR360C,,,,,,10,D,6,YOR360C,,
907,    'not included in iLL672',YOR363C,,,,,,10,D,7,YOR363C,,
908,    'not included in iLL672',YOR365C,,,,,,10,D,8,YOR365C,,
909,    'not included in iLL672',YOR366W,,,,,,10,D,9,YOR366W,,
910,    'not included in iLL672',YOR367W,,,,,,10,D,10,YOR367W,,
911,    'not included in iLL672',YOR368W,,,,,,10,D,11,YOR368W,,
912,    'not included in iLL672',YOR369C,,,,,,10,D,12,YOR369C,,
913,    'not included in iLL672',YOR371C,,,,,,10,E,1,YOR371C,,
914,    'part of iLL672',YOR374W,,,,,,10,E,2,YOR374W,,
915,    'part of iLL672',YOR375C,,,,,,10,E,3,YOR375C,,
916,    'not included in iLL672',YOR376W,,,,,,10,E,4,YOR376W,,
917,    'not included in iLL672',YOR377W,,,,,,10,E,5,YOR377W,,
918,    'not included in iLL672',YOR378W,,,,,,10,E,6,YOR378W,,
919,    'not included in iLL672',YOR379C,,,,,,10,E,7,YOR379C,,
920,    'not included in iLL672',YOR380W,,,,,,10,E,8,YOR380W,,
921,    'not included in iLL672',YOR381W,,,,,0,10,E,9,YOR381W,,
922,    'not included in iLL672',YOR382W,,,,,,10,E,10,YOR382W,,
923,    'not included in iLL672',YOR383C,,,,,,10,E,11,YOR383C,,
924,    'not included in iLL672',YOR384W,,,,,,10,E,12,YOR384W,,
925,    'not included in iLL672',YOR385W,,,,,,10,F,1,YOR385W,,
926,    'not included in iLL672',YOR386W,,,,,,10,F,2,YOR386W,,
927,    'not included in iLL672',YOL001W,,,,,,10,F,3,YOL001W,,
928,    'not included in iLL672',YOL002C,,,,0,,10,F,4,YOL002C,,
929,    'not included in iLL672',YOL003C,,,,,,10,F,5,YOL003C,,
930,    'not included in iLL672',YOL004W,,,,,,10,F,6,YOL004W,,
931,    'not included in iLL672',YOL006C,,,,,,10,F,7,YOL006C,,
932,    'not included in iLL672',YOL007C,,,,,,10,F,8,YOL007C,,
933,    'not included in iLL672',YOL008W,,,,,,10,F,9,YOL008W,,
934,    'not included in iLL672',YOL009C,,,,,,10,F,10,YOL009C,,
935,    'not included in iLL672',YOL011W,,,,,,10,F,11,YOL011W,,
936,    'not included in iLL672',YOL012C,,,,,,10,F,12,YOL012C,,
937,    'not included in iLL672',YOL013C,,,,,,10,G,1,YOL013C,,
938,    'not included in iLL672',YOL014W,,,,,,10,G,2,YOL014W,,
939,    'not included in iLL672',YOL015W,,,,,,10,G,3,YOL015W,,
940,    'not included in iLL672',YOL017W,,,,m, ,10,G,4,YOL017W,,
941,    'not included in iLL672',YOL018C,,,,,,10,G,5,YOL018C,,
942,    'not included in iLL672',YOL019W,,,,, ,10,G,6,YOL019W,,
943,    'part of iLL672',YOL020W,,,,, ,10,G,7,YOL020W,,
944,    'not included in iLL672',YOL023W,,,0,0,0,10,G,8,YOL023W,,
945,    'not included in iLL672',YOL024W,,,,,,10,G,9,YOL024W,,
946,    'not included in iLL672',YOL025W,,,,,,10,G,10,YOL025W,,
947,    'not included in iLL672',YOL027C,,,,,,10,G,11,YOL027C,,
948,    'not included in iLL672',YOL028C,,,,,,10,G,12,YOL028C,,
949,    'not included in iLL672',YOL029C,,,,,,10,H,1,YOL029C,,
950,    'not included in iLL672',YOL030W,,,,,,10,H,2,YOL030W,,
951,    'not included in iLL672',YOL031C,,,,,,10,H,3,YOL031C,,
952,    'not included in iLL672',YOL032W,,,,,,10,H,4,YOL032W,,
953,    'not included in iLL672',YOL033W,,,,,,10,H,5,YOL033W,,
954,    'not included in iLL672',YOL035C,,,,,,10,H,6,YOL035C,,
955,    'not included in iLL672',YOL036W,,,,,,10,H,7,YOL036W,,
956,    'not included in iLL672',YOL037C,,,,,,10,H,8,YOL037C,,
957,    'not included in iLL672',YOL039W,,,,,,10,H,9,YOL039W,,
958,    'not included in iLL672',YOL041C,,,,,,10,H,10,YOL041C,,
959,    'not included in iLL672',YOL042W,,,,,,10,H,11,YOL042W,,
960,    'not included in iLL672',YOL043C,,,,,,10,H,12,YOL043C,,
961,    'not included in iLL672',YOL044W,,,,,,11,A,1,YOL044W,,
962,    'not included in iLL672',YOL045W,,,,,,11,A,2,YOL045W,,
963,    'not included in iLL672',YOL046C,,,,,,11,A,3,YOL046C,,
964,    'not included in iLL672',YOL047C,,,,,,11,A,4,YOL047C,,
965,    'not included in iLL672',YOL048C,,,,,,11,A,5,YOL048C,,
966,    'part of iLL672',YOL049W,,,,,,11,A,6,YOL049W,,
967,    'not included in iLL672',YOL050C,,,,,,11,A,7,YOL050C,,
968,    'not included in iLL672',YOL051W,,,,,,11,A,8,YOL051W,,
969,    'part of iLL672',YOL052C,,,,,,11,A,9,YOL052C,,
970,    'not included in iLL672',YOL053C-A,,,,,,11,A,10,YOL053C-A,,
971,    'not included in iLL672',YOL053W,,,,,,11,A,11,YOL053W,,
972,    'not included in iLL672',YOL054W,,,,,,11,A,12,YOL054W,,
973,    'part of iLL672',YOL055C,,,,,,11,B,1,YOL055C,,
974,    'part of iLL672',YOL056W,,,,,,11,B,2,YOL056W,,
975,    'not included in iLL672',YOL057W,,,,,,11,B,3,YOL057W,,
976,    'part of iLL672',YOL058W,0,0,0,0,0,11,B,4,YOL058W,,
977,    'part of iLL672',YOL059W,,,,,,11,B,5,YOL059W,,
978,    'not included in iLL672',YOL060C,,,,,,11,B,6,YOL060C,,
979,    'part of iLL672',YOL061W,,,,,,11,B,7,YOL061W,,
980,    'not included in iLL672',YOL062C,,,,,,11,B,8,YOL062C,,
981,    'not included in iLL672',YOL063C,,,,,,11,B,9,YOL063C,,
982,    'part of iLL672',YOL064C,,,,,,11,B,10,YOL064C,,
983,    'not included in iLL672',YOL065C,,,,,,11,B,11,YOL065C,,
984,    'not included in iLL672',YOL067C,,,,, ,11,B,12,YOL067C,,
985,    'not included in iLL672',YOL068C,,,,,,11,C,1,YOL068C,,
986,    'not included in iLL672',YOL070C,,,,,,11,C,2,YOL070C,,
987,    'not included in iLL672',YOL071W,,,,,,11,C,3,YOL071W,,
988,    'not included in iLL672',YOL072W,,,,,,11,C,4,YOL072W,,
989,    'not included in iLL672',YOL075C,,,,,,11,C,5,YOL075C,,
990,    'not included in iLL672',YOL076W,,,,,,11,C,6,YOL076W,,
991,    'not included in iLL672',YOL079W,,,,,,11,C,7,YOL079W,,
992,    'not included in iLL672',YOL080C,,,,,,11,C,8,YOL080C,,
993,    'not included in iLL672',YOL081W,,,,,,11,C,9,YOL081W,,
994,    'not included in iLL672',YOL082W,,,,,,11,C,10,YOL082W,,
995,    'not included in iLL672',YOL083W,,,,,,11,C,11,YOL083W,,
996,    'not included in iLL672',YOL084W,,,,,,11,C,12,YOL084W,,
997,    'not included in iLL672',YOL085C,,,,,,11,D,1,YOL085C,,
998,    'part of iLL672',YPL274W,,,,,,11,D,2,YPL274W,SAM3,"High affinity S-adenosylMethionine Permease, sulfur amino acid transport, amino acid-polyamine transporter, cellular_component unknown"
999,    'part of iLL672',YPL273W,,,,,,11,D,3,YPL273W,SAM4,"S-adenosylmethionine:homocysteine S-methyltransferase, sulfur amino acid metabolism,"
1000,    'not included in iLL672',YPL272C,,,,,,11,D,4,YPL272C,,"biological_process unknown, molecular_function unknown, "
1001,    'part of iLL672',YPL271W,,,0,0,0,11,D,5,YPL271W,"ATP15, ATPEPSILON","nuclear gene for ATP synthase epsilon subunit, ATP synthesis coupled proton transport, hydrogen-transporting two-sector ATPase, hydrogen-transporting ATP synthase, central stalk"
1002,    'not included in iLL672',YPL270W,,,,,,11,D,6,YPL270W,MDL2,"ATP-binding cassette (ABC) transporter family member, transport,"
1003,    'not included in iLL672',YPL269W,,,,,,11,D,7,YPL269W,KAR9,"Component of cortical adaptor complex that orients microtubules, mitosis*, molecular_function unknown, cortex"
1004,    'not included in iLL672',YPL267W,,,,,,11,D,8,YPL267W,,"biological_process unknown, molecular_function unknown, "
1005,    'part of iLL672',YPL265W,,,,,,11,D,9,YPL265W,DIP5,"dicarboxylic amino acid permease, transport,"
1006,    'not included in iLL672',YPL264C,,,,,,11,D,10,YPL264C,,"biological_process unknown,"
1007,    'not included in iLL672',YPL263C,,,,,,11,D,11,YPL263C,KEL3,"Kelch-repeat protein, similar to Kel1 and Kel2, biological_process unknown, molecular_function unknown, "
1008,    'part of iLL672',YPL262W,,,,,0,11,D,12,YPL262W,FUM1,"mitochondrial and cytoplasmic fumarase (fumarate hydralase), tricarboxylic acid cycle*, fumarate hydratase, cytosol*"
1009,    'not included in iLL672',YPL260W,,,,,,11,E,1,YPL260W,,"biological_process unknown, molecular_function unknown, "
1010,    'not included in iLL672',YPL261C,,,,,,11,E,2,YPL261C,,"biological_process unknown, molecular_function unknown, "
1011,    'not included in iLL672',YPL259C,,,,,,11,E,3,YPL259C,"APM1, YAP54",medium subunit of the clathrin-associated protein complex 
1012,    'part of iLL672',YPL258C,,,,,,11,E,4,YPL258C,THI21,"THI for thiamine metabolism. Transcribed in the presence of low level of thiamine (10-8M) and turned off in the presence of high level (10-6M) of thiamine. Under the positive control of THI2 and THI3., vitamin B1 biosynthesis, phosphomethylpyrimidine kina"
1013,    'not included in iLL672',YPL257W,,,,,,11,E,5,YPL257W,,"biological_process unknown, molecular_function unknown, "
1014,    'not included in iLL672',YPL256C,,,,,,11,E,6,YPL256C,CLN2,"G(sub)1 cyclin, G1/S transition of mitotic cell cycle*, G1/S-specific cyclin, cytoplasm"
1015,    'not included in iLL672',YPL254W,,,,,,11,E,7,YPL254W,"HFI1, ADA1, SUP110","transcription factor, member of Ada Gcn5 protein complex, transcription,SAGA complex"
1016,    'not included in iLL672',YPL253C,,,,,,11,E,8,YPL253C,VIK1,"Cik1p homolog, microtubule-based process, microtubule motor, spindle pole body"
1017,    'not included in iLL672',YPL250C,,,,,,11,E,9,YPL250C,ICY2,"interacting with the cytoskeleton,molecular_function unknown, "
1018,    'not included in iLL672',YPL249C,,,,,,11,E,10,YPL249C,,"biological_process unknown, molecular_function unknown, "
1019,    'not included in iLL672',YPL248C,,,0,,,11,E,11,YPL248C,GAL4,"zinc-finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type, galactose metabolism*, transcription activating factor, nucleus"
1020,    'not included in iLL672',YPL247C,,,,,,11,E,12,YPL247C,,"biological_process unknown, molecular_function unknown, "
1021,    'not included in iLL672',YPL246C,,,,,,11,F,1,YPL246C,,"biological_process unknown, molecular_function unknown, "
1022,    'not included in iLL672',YPL245W,,,,,,11,F,2,YPL245W,,"biological_process unknown, molecular_function unknown, "
1023,    'not included in iLL672',YPL244C,,,,,,11,F,3,YPL244C,HUT1,yeast homologue of UDP-galactose transporter-related gene 
1024,    'not included in iLL672',YPL241C,,,,,,11,F,4,YPL241C,CIN2,"involved in microtubule function, microtubule-based process, molecular_function unknown, microtubule"
1025,    'not included in iLL672',YPL240C,,,,,,11,F,5,YPL240C,"HSP82, HSP83, HSP90","82 kDa heat shock protein; homolog of mammalian Hsp90, stress response*, heat shock protein*, cellular_component unknown"
1026,    'not included in iLL672',YPL239W,,,,,,11,F,6,YPL239W,YAR1,"YAR1 encodes a 200-amino-acid protein with two ANK repeat motifs and an acidic C terminus rich in PEST-like sequences, biological_process unknown, molecular_function unknown, "
1027,    'not included in iLL672',YPL236C,,,,,,11,F,7,YPL236C,,"biological_process unknown, molecular_function unknown, "
1028,    'not included in iLL672',YPL234C,,,,,,11,F,8,YPL234C,"TFP3, CLS9, VMA11","vacuolar ATPase V0 domain subunit c' (17 kDa), vacuolar acidification, hydrogen-transporting two-sector ATPase, hydrogen-transporting ATPase V0 domain"
1029,    'not included in iLL672',YPL232W,,,,,,11,F,9,YPL232W,SSO1,"post-Golgi t-SNARE, non-selective vesicle fusion*, t-SNARE, integral plasma membrane protein"
1030,    'not included in iLL672',YPL230W,,,,,,11,F,10,YPL230W,USV1,"Up in StarVation, biological_process unknown, molecular_function unknown, "
1031,    'not included in iLL672',YPL229W,,,,,,11,F,11,YPL229W,,"biological_process unknown, molecular_function unknown, "
1032,    'not included in iLL672',YPL227C,,,,,,11,F,12,YPL227C,ALG5,"UDP-glucose:dolichyl-phosphate glucosyltransferase,dolichyl-phosphate beta-glucosyltransferase, "
1033,    'not included in iLL672',YPL226W,,,,,,11,G,1,YPL226W,NEW1,"This gene encodes a protein with an Q N-rich amino terminal domain that acts as a prion, termed [NU]+., biological_process unknown, molecular_function unknown, "
1034,    'not included in iLL672',YPL225W,,,,,,11,G,2,YPL225W,,"biological_process unknown, molecular_function unknown, "
1035,    'not included in iLL672',YPL223C,,,,,,11,G,3,YPL223C,GRE1,"hydrophilic polypeptide with no known homology, biological_process unknown, molecular_function unknown, "
1036,    'not included in iLL672',YPL222W,,,,,,11,G,4,YPL222W,,"biological_process unknown, molecular_function unknown, "
1037,    'not included in iLL672',YPL221W,,,,,,11,G,5,YPL221W,BOP1,"Bypass of PAM1, biological_process unknown, molecular_function unknown, "
1038,    'not included in iLL672',YPL220W,,,,,,11,G,6,YPL220W,"RPL1A, SSM1","Ribosomal protein L1A, forms part of the 60S ribosomal subunit, protein biosynthesis, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit"
1039,    'not included in iLL672',YPL219W,,,,,,11,G,7,YPL219W,PCL8,"cyclin (Pho85p), cell cycle,"
1040,    'not included in iLL672',YPL216W,,,,,,11,G,8,YPL216W,,"biological_process unknown, molecular_function unknown, "
1041,    'not included in iLL672',YPL215W,,,0,0,0,11,G,9,YPL215W,CBP3,"involved in cytochrome-c reductase assembly, protein complex assembly, molecular_function unknown, mitochondrial membrane"
1042,    'part of iLL672',YPL214C,,,,,,11,G,10,YPL214C,THI6,"TMP pyrophosphorylase, hydroxyethylthiazole kinase, vitamin B1 biosynthesis, hydroxyethylthiazole kinase*, cellular_component unknown"
1043,    'not included in iLL672',YPL213W,,,,,,11,G,11,YPL213W,LEA1,"similar to human U2A' snRNP protein, mRNA splicing,"
1044,    'not included in iLL672',YPL212C,,,,,,11,G,12,YPL212C,PUS1,"intranuclear protein which exhibits a nucleotide-specific intron-dependent tRNA pseudouridine synthase activity,pseudouridylate synthase, "
1045,    'not included in iLL672',YPL208W,,,,,,11,H,1,YPL208W,,"biological_process unknown, molecular_function unknown, "
1046,    'not included in iLL672',YPL207W,,,,,,11,H,2,YPL207W,,"biological_process unknown, molecular_function unknown, "
1047,    'not included in iLL672',YPL206C,,,,,,11,H,3,YPL206C,,"biological_process unknown, molecular_function unknown, "
1048,    'not included in iLL672',YPL205C,,,,,,11,H,4,YPL205C,,"biological_process unknown, molecular_function unknown, "
1049,    'not included in iLL672',YPL203W,,,,,,11,H,5,YPL203W,"TPK2, PKA2, PKA3, YKR1","cAMP-dependent protein kinase catalytic subunit, protein phosphorylation*, protein serine/threonine kinase*, cytoplasm*"
1050,    'not included in iLL672',YPL202C,,,,,,11,H,6,YPL202C,,"biological_process unknown, molecular_function unknown, "
1051,    'not included in iLL672',YPL201C,,,,,,11,H,7,YPL201C,,"biological_process unknown, molecular_function unknown, "
1052,    'not included in iLL672',YPL200W,,,,,,11,H,8,YPL200W,CSM4,"biological_process unknown, molecular_function unknown, "
1053,    'not included in iLL672',YPL199C,,,,,,11,H,9,YPL199C,,"biological_process unknown, molecular_function unknown, "
1054,    'not included in iLL672',YPL198W,,,,,,11,H,10,YPL198W,RPL7B,"Ribosomal protein L7B (L6B) (rp11) (YL8), protein biosynthesis, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit"
1055,    'not included in iLL672',YPL197C,,,,,,11,H,11,YPL197C,,"biological_process unknown, molecular_function unknown, "
1056,    'not included in iLL672',YPL196W,,,,,,11,H,12,YPL196W,,"biological_process unknown, molecular_function unknown, "
1057,    'not included in iLL672',YPL195W,,,,,,12,A,1,YPL195W,"APL5, YKS4",delta-like subunit of the yeast AP-3 adaptin component of the membrane-associated clathrin assembly complex 
1058,    'not included in iLL672',YPL194W,,,,,,12,A,2,YPL194W,DDC1,"DNA damage checkpoint gene,molecular_function unknown, "
1059,    'not included in iLL672',YPL193W,,,,,,12,A,3,YPL193W,RSA1,"RiboSome Assembly, ribosomal large subunit assembly and maintenance, molecular_function unknown, nucleoplasm"
1060,    'not included in iLL672',YPL192C,,,,,,12,A,4,YPL192C,PRM3,"pheromone-regulated membrane protein, mating (sensu Saccharomyces), molecular_function unknown, integral membrane protein"
1061,    'not included in iLL672',YPL191C,,,,,,12,A,5,YPL191C,,"biological_process unknown, molecular_function unknown, "
1062,    'not included in iLL672',YPL189W,,,,,,12,A,6,YPL189W,GUP2,Putative active glycerol transporter 
1063,    'part of iLL672',YPL188W,,,,,,12,A,7,YPL188W,POS5,"involved in oxidative stress, biological_process unknown, molecular_function unknown, "
1064,    'not included in iLL672',YPL187W,,,,,,12,A,8,YPL187W,,
1065,    'not included in iLL672',YPL185W,,,,,,12,A,9,YPL185W,,
1066,    'not included in iLL672',YPL186C,,,,,,12,A,10,YPL186C,,
1067,    'not included in iLL672',YPL184C,,,,,,12,A,11,YPL184C,,
1068,    'not included in iLL672',YPL181W,,,,,,12,A,12,YPL181W,,
1069,    'not included in iLL672',YPL182C,,,,,,12,B,1,YPL182C,,
1070,    'not included in iLL672',YPL180W,,,,,,12,B,2,YPL180W,,
1071,    'not included in iLL672',YPL179W,,,,,,12,B,3,YPL179W,,
1072,    'not included in iLL672',YPL178W,,,,,,12,B,4,YPL178W,,
1073,    'not included in iLL672',YPL177C,,,,,,12,B,5,YPL177C,,
1074,    'not included in iLL672',YPL176C,,,,,,12,B,6,YPL176C,,
1075,    'not included in iLL672',YPL174C,,,,,,12,B,7,YPL174C,,
1076,    'not included in iLL672',YPL173W,,,0,0,0,12,B,8,YPL173W,,
1077,    'not included in iLL672',YPL172C,,,0,0,0,12,B,9,YPL172C,,
1078,    'not included in iLL672',YPL171C,,,,,,12,B,10,YPL171C,,
1079,    'not included in iLL672',YPL170W,,,,,,12,B,11,YPL170W,,
1080,    'not included in iLL672',YPL168W,,,,,,12,B,12,YPL168W,,
1081,    'not included in iLL672',YPL167C,,,,,,12,C,1,YPL167C,,
1082,    'not included in iLL672',YPL166W,,,,,,12,C,2,YPL166W,,
1083,    'not included in iLL672',YPL165C,,,,,,12,C,3,YPL165C,,
1084,    'not included in iLL672',YPL164C,,,,,,12,C,4,YPL164C,,
1085,    'not included in iLL672',YPL163C,,,,,,12,C,5,YPL163C,,
1086,    'not included in iLL672',YPL162C,,,,,,12,C,6,YPL162C,,
1087,    'not included in iLL672',YPL161C,,,,,,12,C,7,YPL161C,,
1088,    'not included in iLL672',YPL159C,,,,,,12,C,8,YPL159C,,
1089,    'not included in iLL672',YPL157W,,,,,,12,C,9,YPL157W,,
1090,    'not included in iLL672',YPL156C,,,,,,12,C,10,YPL156C,,
1091,    'not included in iLL672',YPL155C,,,,,,12,C,11,YPL155C,,
1092,    'not included in iLL672',YPL154C,,,,,,12,C,12,YPL154C,,
1093,    'not included in iLL672',YPL152W,,,,,,12,D,1,YPL152W,,
1094,    'not included in iLL672',YPL150W,,,,,,12,D,2,YPL150W,,
1095,    'not included in iLL672',YPL149W,,,,,,12,D,3,YPL149W,,
1096,    'not included in iLL672',YPL147W,,,,,,12,D,4,YPL147W,,
1097,    'not included in iLL672',YPL145C,,,,,,12,D,5,YPL145C,,
1098,    'not included in iLL672',YPL144W,,,,,,12,D,6,YPL144W,,
1099,    'not included in iLL672',YPL141C,,,,,,12,D,7,YPL141C,,
1100,    'not included in iLL672',YPL140C,,,,,,12,D,8,YPL140C,,
1101,    'not included in iLL672',YPL139C,,,,,,12,D,9,YPL139C,,
1102,    'not included in iLL672',YPL138C,,,,,,12,D,10,YPL138C,,
1103,    'not included in iLL672',YPL136W,,,,,,12,D,11,YPL136W,,
1104,    'not included in iLL672',YPL135W,,,,,,12,D,12,YPL135W,,
1105,    'not included in iLL672',YPL133C,,,,,,12,E,1,YPL133C,,
1106,    'not included in iLL672',YPL130W,,,,,,12,E,2,YPL130W,,
1107,    'not included in iLL672',YPL129W,,, ,, ,12,E,3,YPL129W,,
1108,    'not included in iLL672',YPL127C,,,,,,12,E,4,YPL127C,,
1109,    'not included in iLL672',YPL125W,,,,,,12,E,5,YPL125W,,
1110,    'not included in iLL672',YPL123C,,,,,,12,E,6,YPL123C,,
1111,    'not included in iLL672',YPL121C,,,,,,12,E,7,YPL121C,,
1112,    'not included in iLL672',YPL120W,,,,,,12,E,8,YPL120W,,
1113,    'not included in iLL672',YPL119C,,,,,,12,E,9,YPL119C,,
1114,    'not included in iLL672',YPL118W,,,0,0,0,12,E,10,YPL118W,,
1115,    'not included in iLL672',YPL116W,,,,,,12,E,11,YPL116W,,
1116,    'not included in iLL672',YPL115C,,,,,,12,E,12,YPL115C,,
1117,    'not included in iLL672',YPL114W,,,,,,12,F,1,YPL114W,,
1118,    'not included in iLL672',YPL113C,,,,,,12,F,2,YPL113C,,
1119,    'not included in iLL672',YPL112C,,,,,,12,F,3,YPL112C,,
1120,    'part of iLL672',YPL111W,,,,,,12,F,4,YPL111W,,
1121,    'not included in iLL672',YPL110C,,,,,,12,F,5,YPL110C,,
1122,    'not included in iLL672',YPL109C,,,,,,12,F,6,YPL109C,,
1123,    'not included in iLL672',YPL108W,,,,,,12,F,7,YPL108W,,
1124,    'not included in iLL672',YPL107W,,,,,,12,F,8,YPL107W,,
1125,    'not included in iLL672',YPL106C,,,,,,12,F,9,YPL106C,,
1126,    'not included in iLL672',YPL105C,,,,,,12,F,10,YPL105C,,
1127,    'not included in iLL672',YPL104W,,,0,0,0,12,F,11,YPL104W,,
1128,    'not included in iLL672',YPL103C,,,,,,12,F,12,YPL103C,,
1129,    'not included in iLL672',YPL101W,,,,,,12,G,1,YPL101W,,
1130,    'not included in iLL672',YPL102C,,,,,,12,G,2,YPL102C,,
1131,    'not included in iLL672',YPL100W,,,,,,12,G,3,YPL100W,,
1132,    'not included in iLL672',YPL099C,,,,,,12,G,4,YPL099C,,
1133,    'not included in iLL672',YPL098C,,,,,,12,G,5,YPL098C,,
1134,    'not included in iLL672',YPL097W,,,0,0,0,12,G,6,YPL097W,,
1135,    'not included in iLL672',YPL096W,,,,,,12,G,7,YPL096W,,
1136,    'not included in iLL672',YPL095C,,,,,,12,G,8,YPL095C,,
1137,    'not included in iLL672',YPL092W,,,,,,12,G,9,YPL092W,,
1138,    'not included in iLL672',YEL001C,,,,,,12,G,10,YEL001C,,"biological_process unknown, molecular_function unknown, "
1139,    'not included in iLL672',YEL003W,,,,,,12,G,11,YEL003W,"GIM4, PFD2","bovine prefoldin subunit 2 homolog (putative), protein folding,"
1140,    'not included in iLL672',YEL004W,,,,,,12,G,12,YEL004W,YEA4,"similar to Gog5, which is involved in vanadate resistance, biological_process unknown, molecular_function unknown, "
1141,    'not included in iLL672',YEL005C,,,,,,12,H,1,YEL005C,"VAB2, VAB31","Vac8p binding protein of 31 kDa,molecular_function unknown,"
1142,    'not included in iLL672',YEL006W,,,,,,12,H,2,YEL006W,,"biological_process unknown, molecular_function unknown, "
1143,    'not included in iLL672',YEL007W,,,,,,12,H,3,YEL007W,TOS9,"biological_process unknown, molecular_function unknown, "
1144,    'not included in iLL672',YEL008W,,,,,,12,H,4,YEL008W,,"biological_process unknown, molecular_function unknown, "
1145,    'not included in iLL672',YEL009C,,,,,,12,H,5,YEL009C,"GCN4, AAS3, ARG9","transcriptional activator of amino acid biosynthetic genes,transcription factor,"
1146,    'not included in iLL672',YEL010W,,,,,,12,H,6,YEL010W,,"biological_process unknown, molecular_function unknown, "
1147,    'not included in iLL672',YEL013W,,,,,,12,H,7,YEL013W,"VAC8, YEB3","An armadillo repeat-containing protein localized on the vacuolar membrane, protein-vacuolar targeting*, molecular_function unknown, vacuole"
